track,artist,album,genres
The Adults Are Talking,The Strokes,The New Abnormal,"('indie rock', 'rock')"
Dosed,Red Hot Chili Peppers,By the Way,"('rock', 'alternative rock')"
This Is the Place,Red Hot Chili Peppers,By the Way,"('rock', 'alternative rock')"
Here Comes the Sun,The Beatles,Abbey Road,"('classic rock', '60s')"
Universally Speaking,Red Hot Chili Peppers,By the Way,"('rock', 'alternative rock')"
By the Way,Red Hot Chili Peppers,By the Way,"('rock', 'alternative rock')"
The Court of the Crimson King,King Crimson,In the Court of the Crimson King,"('Progressive rock', 'classic rock')"
Moonchild,King Crimson,In the Court of the Crimson King,"('Progressive rock', 'experimental')"
Epitaph,King Crimson,In the Court of the Crimson King,"('Progressive rock', 'classic rock')"
I Talk to the Wind,King Crimson,In the Court of the Crimson King,"('Progressive rock', 'classic rock')"
21st Century Schizoid Man,King Crimson,In the Court of the Crimson King,"('Progressive rock', 'psychedelic')"
The Supermen,David Bowie,The Man Who Sold the World,"('rock', 'classic rock')"
The Man Who Sold the World,David Bowie,The Man Who Sold the World,"('rock', 'classic rock')"
She Shook Me Cold,David Bowie,The Man Who Sold the World,"('rock', 'david bowie')"
Saviour Machine,David Bowie,The Man Who Sold the World,"('glam rock', 'classic rock')"
Running Gun Blues,David Bowie,The Man Who Sold the World,"('classic rock', 'glam rock')"
After All,David Bowie,The Man Who Sold the World,"('classic rock', 'rock')"
Black Country Rock,David Bowie,The Man Who Sold the World,"('classic rock', 'rock')"
All the Madmen,David Bowie,The Man Who Sold the World,"('glam rock', 'classic rock')"
The Width of a Circle,David Bowie,The Man Who Sold the World,"('rock', 'classic rock')"
The Man Who Sold the World,David Bowie,The Man Who Sold the World,"('rock', 'classic rock')"
A Tout le Monde,Megadeth,Youthanasia,"('thrash metal', 'metal')"
Ocean Movie,Arthur Russell,Corn,()
They and Their Friends,Arthur Russell,Corn,()
Hiding Your Present From You,Arthur Russell,Corn,"('contemporary cello', 'arther russel')"
Corn (Continued),Arthur Russell,Corn,()
This Is How We Walk on the Moon,Arthur Russell,Corn,"('chill', 'experimental')"
"See My Brother, He's Jumping Out (Let's Go Swimming #2)",Arthur Russell,Corn,()
Keeping Up,Arthur Russell,Corn,"('alternative', 'up')"
Corn,Arthur Russell,Corn,"('experimental',)"
Lucky Cloud,Arthur Russell,Corn,"('pop', 'audioase')"
Donaghmede,Pillow Queens,In Waiting,()
Brothers,Pillow Queens,In Waiting,"('queer',)"
Harvey,Pillow Queens,In Waiting,()
Gay Girls,Pillow Queens,In Waiting,"('queer',)"
A Dog's Life,Pillow Queens,In Waiting,()
Liffey,Pillow Queens,In Waiting,()
HowDoILook,Pillow Queens,In Waiting,"('queer',)"
Handsome Wife,Pillow Queens,In Waiting,"('queer',)"
Child Of Prague,Pillow Queens,In Waiting,()
holy show,Pillow Queens,In Waiting,()
Somewhere Tonight,Beach House,Thank Your Lucky Stars,"('dream pop', 'indie pop')"
Rough Song,Beach House,Thank Your Lucky Stars,"('indie pop', 'dream pop')"
Elegy to the Void,Beach House,Thank Your Lucky Stars,"('ambient pop', 'shoegaze')"
The Traveller,Beach House,Thank Your Lucky Stars,"('dream pop', 'american')"
Common Girl,Beach House,Thank Your Lucky Stars,"('indie pop', 'dream pop')"
One Thing,Beach House,Thank Your Lucky Stars,"('shoegaze', 'trip-hop')"
All Your Yeahs,Beach House,Thank Your Lucky Stars,"('indie pop', 'dream pop')"
She's So Lovely,Beach House,Thank Your Lucky Stars,"('indie pop', 'Love')"
Majorette,Beach House,Thank Your Lucky Stars,"('dream pop', 'fip')"
It's a Bit of a Pain,Faust,Faust IV,"('krautrock', 'psychedelic')"
Lauft...Heisst Das Es Lauft Oder Es Kommt Bald..Lauft,Faust,Faust IV,"('krautrockgdchill', 'experimental')"
Giggy Smile,Faust,Faust IV,"('krautrock', 'experimental')"
"Picnic on a Frozen River, Deuxieme Tableux",Faust,Faust IV,"('krautrock', 'psychedelic')"
Just a Second (Starts Like That!),Faust,Faust IV,"('krautrock', 'experimental')"
Jennifer,Faust,Faust IV,"('krautrock', '70s')"
Wicked World,Black Sabbath,Black Sabbath,"('heavy metal', 'classic rock')"
Warning,Black Sabbath,Black Sabbath,"('heavy metal', 'hard rock')"
Sleeping Village,Black Sabbath,Black Sabbath,"('heavy metal', 'hard rock')"
Evil Woman,Black Sabbath,Black Sabbath,"('heavy metal', 'hard rock')"
N.I.B.,Black Sabbath,Black Sabbath,"('heavy metal', 'classic rock')"
Behind the Wall of Sleep,Black Sabbath,Black Sabbath,"('heavy metal', 'hard rock')"
The Wizard,Black Sabbath,Black Sabbath,"('heavy metal', 'classic rock')"
Black Sabbath,Black Sabbath,Black Sabbath,"('heavy metal', 'hard rock')"
Into the Void,Black Sabbath,Master of Reality,"('heavy metal', 'hard rock')"
Solitude,Black Sabbath,Master of Reality,"('heavy metal', 'classic rock')"
Lord of This World,Black Sabbath,Master of Reality,"('heavy metal', 'classic rock')"
Orchid,Black Sabbath,Master of Reality,"('heavy metal', 'instrumental')"
Children of the Grave,Black Sabbath,Master of Reality,"('heavy metal', 'hard rock')"
